date,text,code,temperature,feels_like,pressure,humidity,visibility,wind_direction,wind_direction_degree,wind_speed,wind_scale
2017-7-1 0:30,晴,1,29,28,998,62,9.3,南,200,9,2
2017-7-1 1:00,晴,1,28,28,998,63,7.7,西南,233,7.92,2
2017-7-1 1:30,晴,1,28,28,998,65,7.7,南,197,7.2,2
2017-7-1 2:00,晴,1,28,27,998,66,7.7,西南,233,9,2
2017-7-1 2:30,晴,1,28,27,998,67,6.6,南,180,7.2,2
2017-7-1 3:00,晴,1,28,27,998,67,6.6,南,197,10.08,2
2017-7-1 3:30,晴,1,28,27,998,67,6.6,南,188,7.2,2
2017-7-1 4:00,晴,1,27,27,998,67,6,西南,239,9,2
2017-7-1 4:30,晴,1,27,27,998,67,6,西南,239,9,2
2017-7-1 5:00,晴,1,27,26,998,72,5.5,南,180,5.76,2
2017-7-1 5:30,晴,0,27,26,998,70,4.3,南,194,6.84,2
2017-7-1 6:30,晴,0,26,26,999,71,3.8,南,160,5.4,1
2017-7-1 7:00,晴,0,26,26,999,72,3.8,东南,149,3.96,1
2017-7-1 7:30,晴,0,27,26,999,70,3.8,西南,205,5.04,1
2017-7-1 8:00,晴,0,27,27,999,69,3.8,南,163,10.08,2
2017-7-1 8:30,多云,4,27,27,999,70,3.3,西南,217,5.76,2
2017-7-1 9:00,多云,4,28,27,999,67,3.3,西南,236,3.96,1
2017-7-1 9:30,多云,4,29,28,999,67,3.2,西,270,3.24,1
2017-7-1 10:00,多云,4,29,29,999,63,3.2,西北,312,4.68,1
2017-7-1 10:30,多云,4,30,29,999,64,3.3,东,93,7.92,2
2017-7-1 11:00,多云,4,30,29,999,64,3.3,东,82,7.2,2
2017-7-1 11:30,多云,4,30,29,999,63,2.6,东南,121,6.84,2
2017-7-1 12:00,多云,4,32,31,998,57,2.6,东北,62,10.8,2
2017-7-1 12:30,多云,4,32,31,998,56,3,东南,141,7.56,2
2017-7-1 13:00,多云,4,33,32,998,53,3,南,197,8.28,2
2017-7-1 13:30,多云,4,33,33,998,50,3.3,南,200,10.08,2
2017-7-1 14:00,多云,4,34,33,997,53,3.3,南,197,15.12,3
2017-7-1 14:30,多云,4,34,34,997,50,4.6,西南,205,12.96,3
2017-7-1 15:00,多云,4,35,34,997,48,4.6,西南,211,12.96,3
2017-7-1 15:30,多云,4,35,35,996,47,5.4,西南,214,12.6,3
2017-7-1 16:00,多云,4,35,34,996,43,5.4,西南,211,18.72,3
2017-7-1 16:30,多云,4,36,35,996,40,6.6,西南,217,16.2,3
2017-7-1 17:00,多云,4,36,35,996,39,6.6,南,191,14.76,3
2017-7-1 17:30,多云,4,36,35,996,39,8.3,南,197,14.4,3
2017-7-1 18:00,多云,4,35,34,996,39,8.3,西南,211,12.96,3
2017-7-1 18:30,晴,0,35,34,996,39,9.4,西南,217,11.52,2
2017-7-1 19:00,晴,0,35,34,996,40,9.4,西南,203,7.56,2
2017-7-1 19:30,晴,0,34,34,996,41,10.2,南,169,13.32,3
2017-7-1 20:00,多云,4,34,33,996,44,10.2,南,174,7.56,2
2017-7-1 20:30,晴,1,33,33,996,46,8.3,南,174,6.48,2
2017-7-1 21:00,晴,1,33,32,997,49,8.3,东南,124,4.32,1
2017-7-1 21:30,晴,1,33,32,997,50,7.5,南,169,19.8,4
2017-7-1 22:00,晴,1,32,31,997,55,7.5,南,174,13.68,3
2017-7-1 22:30,晴,1,31,31,998,56,4.7,南,158,18,3
2017-7-1 23:00,晴,1,31,30,998,57,4.7,东南,132,16.2,3
